Korean,English
내가 ,I
그 ,that
난 ,I am
내 ,my
안 ,not
수 ,number
이 ,this
네 ,yes
거야 ,going to be
좀 ,a little
그래 ,okay
있어 ,there is
왜 ,why
더 ,more
그리고 ,and
우리 ,we
다 ,all
무슨 ,what
한 ,one
하지만 ,but
잘 ,well
어떻게 ,how
할 ,will do
그냥 ,just
정말 ,really
그럼 ,then
것 ,thing
게 ,crab
있어요 ,there is
있는 ,there is
해 ,sun
여기 ,here
넌 ,you
제가 ,I am
날 ,me
우리가 ,we
건 ,case
전 ,jeon
이제 ,now
지금 ,now
그게 ,that is
걸 ,girl
거 ,thing
아니 ,no
네가 ,you
없어 ,doesn't exist
돼 ,To be
저 ,I
우린 ,we
제 ,my
못 ,pond
좋아 ,good
당신이 ,you
다른 ,different
나 ,me
그런 ,that
그건 ,that
너무 ,too
그래서 ,so
그렇게 ,like that
다시 ,again
이건 ,This
이런 ,this
나도 ,me too
모든 ,every
당신 ,you
거예요 ,Will
당신은 ,you are
아 ,ah
좋은 ,good
오 ,oh
때 ,at the time
너 ,you
하는 ,doing
하고 ,do
아냐 ,no
나는 ,I am
아니야 ,no
알아 ,know
같이 ,together
응 ,huh
이게 ,this
없어요 ,no
괜찮아 ,are you okay
오늘 ,today
말이야 ,Word
줄 ,line
또 ,also
널 ,you
누가 ,who
어떤 ,which
아주 ,very
말 ,word
아직 ,yet
안돼 ,no
진짜 ,really
모두 ,every
마 ,mind
같은 ,same
여기서 ,here
어서 ,hurry
그는 ,he is
위해 ,for
해요 ,do
일이 ,Days
하지 ,summer solstice
엄마 ,mom
바로 ,as soon as
가 ,go
근데 ,however
알고 ,know
이렇게 ,like this
빨리 ,hurry
있습니다 ,there is
이거 ,this
전에 ,before
어 ,uh
아뇨 ,no
계속 ,continue
닥터 ,doctor
얼마나 ,how much
될 ,To be
알았어 ,okay
않아 ,Not
제발 ,please
있지 ,In place
겁니다 ,It is
어디 ,where
사람이 ,People
그가 ,he
안녕 ,hi
좋아요 ,great
같아 ,same
우리는 ,we are
그래요 ,is it so
당신을 ,you
자 ,ruler
그걸 ,That
두 ,two
아니에요 ,no
있을 ,Inquisition
때문에 ,because
대해 ,about
아빠 ,dad
몇 ,some
사람 ,person
했어 ,I did it
뭐야 ,what
수도 ,capital
많이 ,many
집에 ,at home
거지 ,the poor
일을 ,work
저는 ,I am
음 ,hmm
그렇지 ,yes
함께 ,together
만약 ,if
하나 ,one
저기 ,excuse me
고마워요 ,thank you
항상 ,always
나한테 ,To me
잠깐 ,for a moment
가서 ,Go
가장 ,most
돼요 ,can
거죠 ,It is
가자 ,let's go
맞아 ,that's right
보고 ,report
와 ,and
그거 ,that
말을 ,Words
괜찮아요 ,are you okay
아무도 ,no one
없는 ,Do not have
안녕하세요 ,hello
몰라 ,I don't know
일 ,Day
많은 ,many
당신의 ,your
아무것도 ,nothing
그러니까 ,therefore
큰 ,big
알아요 ,i know
그의 ,His
뭐가 ,what
고마워 ,thank you
그만 ,stop
했어요 ,i did it
젠장 ,shit
사람들이 ,People
거에요 ,It's
이걸 ,This
그럴 ,So
것도 ,Too
말이 ,Words
이미 ,already
야 ,hey
그를 ,Him
뭔가 ,Something
온 ,on
이봐 ,hey
아니면 ,or not
같아요 ,same
그런데 ,however
아니라 ,not
세상에 ,oh my god
있다고 ,Is there
있고 ,And
뭐라고 ,what
예 ,yes
절대 ,never
말야 ,Ya
당장 ,right now
그래도 ,still
대한 ,About
말은 ,The words
거기 ,there
전부 ,entire
둘 ,two
그녀는 ,she is
니가 ,you
갈 ,conflict
않아요 ,No
자기 ,self
있죠 ,Is it
하면 ,if
가지고 ,have
그들이 ,they
참 ,really
너도 ,you also
됐어 ,it's okay
미안해 ,Sorry
것을 ,Thing
여긴 ,Here
아무 ,any
사람은 ,people
감사합니다 ,thank you
다들 ,everyone
어때 ,how
씨 ,Seed
곧 ,soon
엄마가 ,Mom
나를 ,me
이젠 ,now
아마 ,maybe
그들은 ,they
얘기 ,talk
꼭 ,please
있잖아 ,Hey
저도 ,me too
지금은 ,now
그녀가 ,She
중 ,middle
있다 ,there is
시간 ,hour
먼저 ,first
우릴 ,Korean
말고 ,not
사람을 ,People
수가 ,medical charge
봐요 ,see
있는데 ,there is
알았어요 ,all right
해야 ,Sun
있었어 ,There was
우리의 ,Our
않을 ,Not to
방금 ,just now
완전 ,very
된 ,Led
동안 ,during
시간이 ,This time
싶어 ,want
본 ,copy
일은 ,Work
친구 ,friend
들어 ,listen
안에 ,in
번 ,th
자네 ,you
합니다 ,do
사실 ,actually
한번 ,once
대체 ,how
같은데 ,Like
생각해 ,think
맞아요 ,that's right
볼 ,cheek
혼자 ,alone
자네가 ,You
절 ,I
그러니 ,so
선생님 ,teacher
사람들은 ,People
문제가 ,The problem
다음 ,next
물론 ,of course
거의 ,almost
일이야 ,It's work
없습니다 ,doesn't exist
아빠가 ,Dad
되는 ,felled
그러면 ,then
순 ,Pure
가는 ,going
말도 ,Speech
이리 ,Wolf
있었어요 ,There was
맙소사 ,oh my god
내일 ,tomorrow
있으면 ,if there is
잠깐만 ,wait for a sec
싫어 ,no
중요한 ,important
내게 ,to me
말해 ,say
이상 ,more
거라고 ,That it is
아는 ,know
너는 ,you
새 ,bird
적 ,enemy
전혀 ,at all
여자 ,female
새로운 ,new
너희 ,you guys
왔어 ,I'm here
아직도 ,still
가지 ,egg plant
나와 ,come out
알 ,egg
싶지 ,I want to
여기에 ,Here
원하는 ,want
돈 ,money
필요 ,necessary
도움이 ,help
그녀를 ,Her
몰라요 ,I don't know
작은 ,small
혹시 ,if
미안해요 ,sorry
나쁜 ,bad
죄송해요 ,sorry
모르겠어 ,I don't know
가요 ,song
알지 ,know
밖에 ,outside
직접 ,directly
있나 ,Is there?
니 ,you
해도 ,chart
하죠 ,Do it
했는데 ,I did it
필요해 ,I need
아니요 ,no
적이 ,Enemies
있나요 ,do you have
갖고 ,Have
돈을 ,money
주세요 ,please
어디서 ,where
것이 ,That
거요 ,Yes
위한 ,for
것은 ,What is
없이 ,without
나중에 ,later
아버지 ,father
나랑 ,with me
됐어요 ,That's Okay
마세요 ,do not
차 ,car
언제 ,when
그저 ,just
생각 ,thought
했지 ,Did
봤어 ,saw
해서 ,So
시간을 ,Time
마지막 ,last
알겠어 ,okay
왜냐면 ,because
위해서 ,for
엄청 ,very
알겠습니다 ,All right
오래 ,long time
기다려 ,wait
아닙니다 ,no
있는지 ,Whether it is
알겠어요 ,all right
제일 ,most
지난 ,past
그렇죠 ,Yes
죽은 ,dead
제대로 ,properly
아니지 ,No
있다면 ,if there is
보면 ,Look
우리를 ,Us
짓을 ,To do
남자 ,man
너가 ,you are
있다는 ,That
누구 ,who
보여 ,see
왔어요 ,came
너한테 ,to you
여러분 ,everyone
완전히 ,completely
너의 ,your
것이다 ,will be
밤 ,night
소리 ,sound
없지 ,No
벌써 ,already
모르겠어요 ,I don't know
말이지 ,I mean
올 ,all
사람들을 ,People
처음 ,first
말이죠 ,Word
사람들 ,people
그녀의 ,her
멋진 ,wonderful
왜요 ,why
정말로 ,really
이름은 ,name is
와서 ,come
대해서 ,about
여보 ,honey
조금 ,little
않았어 ,I did not
말이에요 ,I mean
이름이 ,The name
여보세요 ,hello
서로 ,each other
안돼요 ,No
죽을 ,dying
첫 ,First
매우 ,very
사랑해 ,love you
오늘은 ,today
싶은 ,Desire
어디로 ,Where
단지 ,only
아닌 ,not
나가 ,get out
뿐이야 ,only
미안 ,sorry
확실히 ,surely
싶어요 ,want
죄송합니다 ,sorry
때까지 ,until
없고 ,Without
어때요 ,how is it
살 ,fat
당연히 ,of course
데리고 ,along
필요한 ,necessary
없다 ,does not exist
후 ,after
가고 ,good night
글쎄 ,well
않는 ,not
했죠 ,I did it
나의 ,my
별로 ,not really
않은 ,Unleashed
라고 ,Called
집 ,house
여전히 ,still
없을 ,There not
딱 ,Perfect
있어서 ,So
이야기 ,story
엄마는 ,Mom is
부인 ,ma'am
하는데 ,to do
않고 ,Without
알았지 ,Understand
아니고 ,Not
여자가 ,A woman
문 ,door
되지 ,Not
거기서 ,at there
훨씬 ,more
아버지가 ,Father
망할 ,Destroyed
뭔지 ,What it is
손 ,hand
수술 ,surgery
듣고 ,listen
어쩌면 ,perhaps
보세요 ,look
생각이 ,Thought
어느 ,any
그러지 ,So
되면 ,If it is
아마도 ,maybe
준비 ,preparation
전화 ,phone call
뒤에 ,behind
도대체 ,why
너를 ,you
당신도 ,You
것처럼 ,As
않으면 ,If not
말하는 ,talking
최고의 ,Great
말하지 ,Speak
세 ,count
모르는 ,do not know
유일한 ,only
갑자기 ,suddenly
이봐요 ,Hey
건가요 ,Is it a case
없다고 ,Not
것입니다 ,Will be
있잖아요 ,There is
되고 ,And
어쨌든 ,anyway
가진 ,have
이번 ,this time
뭐하는 ,What to do
후에 ,later
친구가 ,A friend
지 ,ji
신경 ,nerve
그만해 ,stop
누구야 ,who is this
당신에게 ,to you
늘 ,always
없었어 ,No
그들을 ,them
있게 ,With
알잖아 ,You know
누군가 ,someone
분명히 ,clearly
생각을 ,Think
존 ,zone
일단 ,first
가야 ,Gaya
걱정 ,worry
보자 ,see
매일 ,everyday
수는 ,Water
아침 ,morning
말할 ,To say
말아요 ,Don't
모두가 ,Everyone is
않았어요 ,I didn't
얘기를 ,Talk
봤어요 ,saw
대신 ,instead
마치 ,like
건데 ,I
자넨 ,Manen
했잖아 ,You did it
둘이 ,two people
당신과 ,with you
집으로 ,to home
한다 ,do
두고 ,Left
이름을 ,name
있네 ,There is
그들의 ,their
뭔데 ,What
금방 ,soon
사는 ,living
좋아하는 ,Favorite
찾을 ,Found
맘에 ,I like it
결국 ,at last
이유가 ,the reason is
필요해요 ,I need
중에 ,In the middle
그때 ,at that time
보는 ,see
너랑 ,with you
아이를 ,The child
없잖아 ,No
한다고 ,That
기분 ,mood
하게 ,to do
놈이 ,Guy
못해 ,can not
우리에게 ,To us
가면 ,mask
저를 ,me
잡아 ,catch
집에서 ,at home
우리도 ,We too
기분이 ,Feel
저희 ,we
찾고 ,Finding
손을 ,hand
거다 ,Get
어제 ,yesterday
남자가 ,A man
뭐지 ,what
앞으로 ,from now on
잠깐만요 ,Wait
자신의 ,Own
애가 ,keen
이상한 ,weird
막 ,membrane
먹고 ,eat
아이 ,kid
언제나 ,always
여기가 ,here
아들 ,son
알게 ,Know
하세요 ,do
총 ,gun
스스로 ,self
방법이 ,Method
있던 ,In
해봐 ,try
아님 ,no
때가 ,Time
아니죠 ,No
했던 ,Did
조용히 ,quietly
밤에 ,At night
미친 ,crazy
텐데 ,It would be
머리 ,head
않습니다 ,not
잘못 ,wrong
고맙습니다 ,Thank you
있어야 ,Must be
왜냐하면 ,because
앉아 ,sit down
아침에 ,In the morning
죽일 ,Kill
환자 ,patient
양 ,sheep
없죠 ,No
일어나 ,wake up
믿을 ,Believing
같네요 ,The same
건가 ,Gun
게다가 ,furthermore
알렉스 ,Alex
타고 ,Riding
데 ,place
들었어 ,I heard
눈을 ,Eyes
나에게 ,to me
없었어요 ,There was no
만나서 ,meet
진정해 ,calm down
이것 ,this
더이상 ,Anymore
보지 ,Pussy
방법을 ,How to
원래 ,usually
솔직히 ,to be honest
좋지 ,It's good
하려고 ,going to do
빌어먹을 ,Damn
총을 ,Gun
길을 ,Path
누군지 ,Who is
아니라고 ,No
자신을 ,Themselves
여길 ,Here
있지만 ,Although
얼른 ,hurry
얘들아 ,Guys
대로 ,Road
만든 ,made
놈 ,bloke
조심해 ,be careful
일에 ,At work
따라 ,according to
술 ,alcohol
정확히 ,exactly
자기가 ,Themselves
충분히 ,enough
힘을 ,Power
아저씨 ,mister
알겠지 ,got it
있었는데 ,There was
사랑하는 ,Loving
기다리고 ,Waiting
될거야 ,It will be
살아 ,live
평생 ,forever
아까 ,a moment ago
얘야 ,Hey
눈 ,eye
거기에 ,There
애 ,baby
분명 ,For sure
말하고 ,Spoke
역시 ,also
저희가 ,we
찾아 ,find
걔가 ,She
이럴 ,This
저기요 ,hey
너와 ,with you
될까요 ,Will it be
천천히 ,slowly
문제 ,problem
수술을 ,Surgery
좋았어 ,It was good
어디에 ,where
문을 ,The door
맞지 ,Right
어딨어 ,Where are you
조지 ,George
아녜요 ,No
저녁 ,dinner
됩니다 ,It's possible
마요 ,Altar
생각엔 ,I think
만들어 ,make
적어도 ,At least
애들 ,kids
개 ,dog
잘했어 ,good job
그러나 ,however
주 ,main
괜찮은 ,Decent
생각은 ,Thought
위에 ,above
가끔 ,sometimes
있었던 ,In
간 ,liver
잠시 ,for a moment
알아서 ,By-self
곳에 ,In place
집을 ,House
그렇지만 ,but
그레이 ,gray
그럼요 ,sure
삶을 ,Life
마음에 ,in the heart
살고 ,live
들고 ,With
분 ,minute
그랬어 ,I did it
차를 ,Tea
옆에 ,Next
아이가 ,Child
이번엔 ,this time
저게 ,That
아빠는 ,Daddy
괜찮을 ,It must be okay
하자 ,let's do it
알았는데 ,Okay
생각해요 ,Think about it
없는데 ,There is no
생각하는 ,Thinking
아니잖아 ,No
마지막으로 ,finally
여자를 ,The woman
죽었어 ,Died
멍청한 ,stupid
훌륭한 ,excellent
있었지 ,There was
정도 ,degree
베일리 ,Bailey
준비가 ,Reader
남은 ,left
있으니까 ,Because
싫어요 ,"no, I do not want"
입니다 ,no see
영원히 ,forever
엄청난 ,exorbitant
정신 ,mental
는 ,Is
계세요 ,anybody home
하는지 ,Whether it is
좋을 ,Good
있었죠 ,There was
간다 ,Goes
기회를 ,Opportunity
그대로 ,as it is
하나도 ,One
멈춰 ,stop
필요가 ,Need
도와줘 ,Help me
다음에 ,next time
앞에서 ,in front
뭐든 ,Whatever
물 ,water
밖으로 ,outside
오는 ,coming
그렇다면 ,then
미국 ,USA
말라고 ,Do not
하지마 ,don't
서 ,west
말한 ,Spoken
테니까 ,Because
앞에 ,Before
를 ,cast
처럼 ,like
저한테 ,to me
거고 ,So
받아 ,receive
그것도 ,That too
요즘 ,recently
믿어 ,believe
뒤로 ,backwards
놈들이 ,Guys
입고 ,store
보니 ,Bonnie
속에 ,inside
잠시만요 ,wait a minute
소리야 ,Sound
들어봐 ,listen
자기야 ,babe
헤이 ,hey
에 ,to
이해가 ,Understanding
옷 ,clothes
들어가 ,Go in
아버지는 ,My father
않을거야 ,I will not
있소 ,There
자네는 ,You
모르겠지만 ,I don't know
누구도 ,Anyone
입 ,mouth
어머니 ,mother
특별한 ,special
좋겠어 ,I wish
준 ,June
그것은 ,that
관한 ,about
할게 ,I'll do it
여기는 ,here is
언니 ,sister
환자가 ,Patient
갈게 ,I'll go
나야 ,it's me
제게 ,To me
하루 ,day
단 ,step
필 ,Filling
가세요 ,go
끔찍한 ,Horrible
걸로 ,Lit
사랑 ,love
일도 ,Work
아름다운 ,beautiful
년 ,year
형 ,brother
뭐요 ,what
저런 ,That
별 ,star
아니다 ,no
받고 ,under
할거야 ,I will do it
쓸 ,Useful
씨발 ,Fuck
돈이 ,money
그에게 ,to him
뭔가를 ,Something
마음을 ,The heart
문제는 ,the problem is
의 ,of
서둘러 ,Hurry
못할 ,Unpleasant
없네 ,There is no
끝났어 ,it's over
있을거야 ,Will be
머리를 ,Head
생각하지 ,Think
뭐라고요 ,I beg your pardon
힘든 ,tiring
보게 ,Look at
가게 ,store
말해봐 ,say it
밥 ,rice
상황이 ,The situation
줘요 ,Give
만큼 ,as much as
했지만 ,Though
같은데요 ,It looks like
이름 ,name
엄마를 ,Mom
전화를 ,phone
어쩔 ,Forced
있니 ,Is there
번째 ,th
할까 ,Should I
얘길 ,Talk
찾는 ,Found
선생님이 ,Teacher
진짜로 ,really
일이에요 ,It's work
건지 ,Vanity
가족을 ,Family
할지 ,Or
중이야 ,It's heavy
믿지 ,Believing
닥쳐 ,shut up
여기로 ,Here
저건 ,That
주고 ,give
멀리 ,far
어이 ,hey
거짓말 ,lie
약 ,approximately
잭 ,jack
사실은 ,in fact
받을 ,Receiving
그러고 ,Then
겁니까 ,Is it
먹을 ,Eaten
그치만 ,Yes
너에게 ,to you
들었어요 ,I heard it
하기 ,do
오빠 ,brother
오고 ,Come
있을까 ,Will there be
어린 ,young
통해 ,through
아닌데 ,It's not
조금만 ,a little bit
맞는 ,right
차에 ,In the car
여자는 ,The woman
보러 ,to see
손에 ,In hand
모르지 ,I don't know
가까이 ,closely
테니 ,Tenny
되죠 ,Has it
점점 ,Gradually
잔 ,glass
이야기를 ,Stories
물론이죠 ,Sure
학교 ,school
주는 ,Giving
아가씨 ,miss
먹어 ,eat
것에 ,On
크게 ,big
이유는 ,The reason is
군 ,army
모두들 ,Everyone
죽인 ,Killed
셋 ,three
알죠 ,I know
기억 ,memory
경찰 ,police
제이 ,Jay
그래야 ,So that
목숨을 ,Risk
있을까요 ,Is there?
아니지만 ,Not
했다 ,did
딸 ,daughter
많아 ,many
떨어져 ,away
사람이야 ,It's a person
다시는 ,never
거잖아 ,That's it
애들이 ,Kids
애를 ,Child
을 ,second
말이다 ,말이다
없다는 ,Not
만들 ,make
오면 ,When it comes
할게요 ,I'll do it
아기 ,baby
영화 ,movie
가족 ,family
찾았어 ,I found it
특히 ,especially
아들을 ,Son
제발요 ,please
꿈을 ,dream
세상을 ,The world
놈을 ,Guy
아니었어 ,No
마이크 ,mike
그리 ,picture
무엇을 ,what
만드는 ,fabricated
얼마 ,how much
보여요 ,Show
사진 ,picture
칼 ,knife
잠시만 ,for a moment
병원에 ,To the hospital
같습니다 ,Same
바보 ,fool
열어 ,open it
현재 ,today
해줘 ,Do it
주지 ,gist
했습니다 ,I did
자주 ,often
있겠지 ,I must be
하는거야 ,Do it
샘 ,fountain
꺼져 ,go away
가만히 ,Still
그랬지 ,It did
지금까지 ,until now
저거 ,that
당연하지 ,of course
나서 ,Out
그것 ,that
또한 ,also
보이지 ,Not visible
노래 ,sing
위험한 ,dangerous
클레어 ,Claire
쉽게 ,easily
오지 ,Backcountry
정말요 ,really
계획이 ,Plans
잡고 ,Grab
열심히 ,try hard
마라 ,Mara
경찰이 ,Police
말하면 ,In other words
방에 ,In my room
됐다 ,done
마음이 ,Mind
메러디스 ,Merdis
운이 ,Lucky
드디어 ,at las
정보를 ,Information
말입니다 ,Word
때는 ,When
얼굴을 ,Face
만난 ,Met
있거든 ,Is there
달 ,moon
약간 ,a little
했다고 ,I did it
일찍 ,early
굉장히 ,greatly
못해요 ,I can not
진실을 ,Truth
줄게 ,I'll give
아세요 ,do you know
누굴 ,Who's
거라 ,Giant
가족이 ,Family
새로 ,New
절대로 ,never
와요 ,come
알지만 ,I know
되어 ,Became
내려 ,get off
같네 ,The same
그거야 ,That's
크리스티나 ,Christina
사이에 ,Between
자꾸 ,repeatedly
저리 ,there
사실을 ,Facts
프랭크 ,Frank
와우 ,wow
뛰어 ,run
갔어 ,I went
죽게 ,Dead
네게 ,For you
심지어 ,even
글쎄요 ,well
사람의 ,people's
오랫동안 ,for a long time
모습을 ,Look
얘기가 ,Talking
아이고 ,oh my
상관 ,relation
일하는 ,working
짐 ,load
길 ,road
사건 ,Event
그렇다고 ,Yes
들어요 ,listen
상황을 ,The situation
옷을 ,Clothes
일이죠 ,It's work
아니예요 ,No
죽어 ,die
뿐이에요 ,It's just
필요는 ,Necessary
여기요 ,Here you go
사랑해요 ,i love you
죽는 ,perishing
누군가가 ,Someone
얘기해 ,Talk
모두를 ,Everyone
커피 ,coffee
있는거야 ,Is there
있으니 ,In
없지만 ,Not
열 ,heat
다신 ,Dazzle
만날 ,everyday
남자는 ,The man
저희는 ,We
떠날 ,Leaving
맞죠 ,Right
아들이 ,Son
놈은 ,Guy
하나가 ,One
의사 ,doctor
박사님 ,Dr.
나오는 ,Outdated
딸이 ,Daughter
거짓말을 ,lie
했고 ,And
얼굴 ,face
보내 ,send
받은 ,received
쓰고 ,Written
곳이 ,Place
된다고 ,That
설마 ,no way
우리한테 ,To us
방법은 ,Way
인생을 ,Life
보이는 ,Visible
정도로 ,To the extent
아니오 ,no
여러 ,several
자고 ,Sleep
한다면 ,if
실례합니다 ,excuse me
기회가 ,Chance
했을 ,I would
결혼 ,marriage
소리를 ,Sound
알았다 ,I get it
해야지 ,Should be
완벽한 ,Perfect
있었다 ,there was
곳을 ,Place
겨우 ,barely
없으면 ,If it is not
아내가 ,wife
있습니까 ,Is there
만들고 ,Made
비켜 ,Move
그것을 ,that
피를 ,Blood
못한 ,Unpleasantly
말씀 ,words
자식 ,child
만약에 ,If the
위대한 ,great
써 ,write
이리와 ,Come on
눈이 ,Snow
사람도 ,Personality
요 ,yo. this
자신이 ,myself
당신한테 ,To you
보통 ,commonly
나갈 ,Go out
문제를 ,Problem
보다 ,see
앉아서 ,Sitting
도와줘요 ,Help me
원하지 ,Not
이쪽으로 ,Come this way
생각하고 ,Think about it
갑시다 ,let's go
사랑을 ,Love is
너네 ,Yours
조 ,article
밖에서 ,outside
들어와 ,come in
그렇군요 ,okay
척 ,chuck
같군 ,The same
나온 ,Out
같지 ,Equal
불러 ,Call
도움을 ,help
마음 ,mind
최선을 ,Best
된다 ,do
곳으로 ,Places
아기를 ,Baby
죽이고 ,Killing
대단한 ,Great
뭐예요 ,what
환자를 ,Patient
똑같은 ,same
가능한 ,possible
친구들 ,friends
원해 ,want
좋아해 ,i like you
될까 ,Will it be
봤지 ,I saw it
방 ,room
몰라도 ,I don't know
갈게요 ,I'll go
때도 ,Time
움직여 ,in action
눈에 ,In the eyes
숨을 ,Breathe
음악 ,music
자는 ,sleeping
딸을 ,Daughter
모르겠네요 ,I don't know
의사가 ,Doctor
셜록 ,Sherlock
딴 ,different
가져와 ,Brought
세상에서 ,in the world
소리가 ,Sound
시간은 ,time is
도울 ,Help
만한 ,Only
남편이 ,husband
한다는 ,To do
아버지를 ,Father
일로 ,Work
감옥에 ,In jail
됐지 ,That
짓 ,act
순간 ,Moment
도와줄 ,Help
있도록 ,So as
할머니 ,grandma
짓이야 ,It's a thing
쓰는 ,inscribed
했잖아요 ,I did it
너희들 ,you
피터 ,Peter
당신들 ,You
그날 ,that day
화가 ,artist
새끼 ,young
쓴 ,written
안에서 ,In
최대한 ,Most
하네 ,It is
팀 ,team
이후로 ,after that
그들 ,them
이지 ,easy
그치 ,right
죽었어요 ,Dead
곳에서 ,In place
때마다 ,Whenever
몸이 ,body
모든게 ,Everything
캠 ,cam
어차피 ,anyway
압니다 ,I know
기억이 ,memory
어딜 ,Wherever
산 ,mountain
들려 ,I can hear
있네요 ,There is
분이 ,Minute
없어서 ,So
이곳에 ,Here
미안하지만 ,I'm sorry
일어난 ,Rising
왔습니다 ,came
로스 ,Loss
속에서 ,inside
친구를 ,friends
모르지만 ,I don't know
예쁜 ,pretty
몸을 ,Body
잊지 ,Forget
엄마한테 ,To mom
왔다 ,come
했는지 ,I did it
타 ,get on
같군요 ,It's the same
명 ,number of people
모든걸 ,Everything
하라고 ,To do it
그렇습니다 ,That's right
때문이야 ,Because
있겠어 ,There must be
덕분에 ,Thanks to
싶으면 ,If you want to
나가서 ,Go out
비밀 ,secret
달라 ,different
것보다 ,Overwhelm
찾았어요 ,I found it
대 ,big
데릭 ,derrick
고통을 ,Pain
환자는 ,The patient
엄마랑 ,With mom
진정한 ,genuine
같다 ,same
생긴 ,appeared
병원 ,hospital
반가워요 ,nice to meet you
내내 ,all the time
가도 ,street
생각에 ,I think
오세요 ,Please come
이러지 ,This
따르면 ,according to
고맙네 ,Thank you
할까요 ,should
사진을 ,Photos
않게 ,So
한잔 ,a drink
않는다 ,Not
있었고 ,There was
되는데 ,I am
남자를 ,Man
안으로 ,in
알았죠 ,Okay
물론이지 ,of course
보낸 ,Sent
피가 ,Bloody
하니까 ,So
아가 ,baby
반드시 ,certainly
아무리 ,no matter how
얘기는 ,The story
잘못된 ,wrong
오케이 ,okay
알아야 ,Should know
걸요 ,I go
해줄 ,To be
자리를 ,Seating
문제야 ,Problem
이유를 ,The reason
그러다 ,Then
약을 ,medicine
싶었어 ,I wanted to
높은 ,High
같아서 ,Likely
이해 ,understanding
하나만 ,just one
돌아올 ,Back
있는게 ,Is it
좋습니다 ,great
좋다 ,good night
배를 ,Pear
찾아야 ,Need to find
못하게 ,So much
막을 ,Forth
계획을 ,Planning
루크 ,Luke
이래 ,since
모르고 ,unwittingly
없잖아요 ,There is no
그녀 ,she
그동안 ,Meantime
거니 ,Go
빼고 ,without
거긴 ,Raw
이라고 ,Is it
그랬어요 ,I did
더는 ,No more
죽지 ,Dying
녀석 ,guy
몰랐어 ,I did not know
리 ,lee
뭐라 ,what
박사 ,doctor
죽였어 ,Killed
믿고 ,Believe
좋네요 ,It's good
여기까지 ,So far
이쪽은 ,This is
사람들에게 ,To people
아빠를 ,Dad
어려운 ,difficult
봤는데 ,I saw it
적은 ,few
법을 ,Law
모르겠다 ,I don't know
신이 ,God
그렇고 ,Yes
관심 ,interest
집이 ,House is
오직 ,Only
좋아해요 ,i like you
있었습니다 ,It was
나은 ,better
않아도 ,Even
나면 ,If it is
옛날 ,A long ago
얘가 ,This one
식으로 ,In a way
그걸로 ,That
냄새가 ,Smell
못하는 ,Unmatched
인간 ,human
세상이 ,The world
책 ,book
모두에게 ,to everyone
말해줘 ,tell me
처음으로 ,For the first time
그러게 ,I know
실제로 ,actually
제임스 ,James
데려다 ,Take
크리스마스 ,christmas
보기 ,look
신의 ,faith
말했잖아 ,I told you
말했어 ,I said
돌아갈 ,Back
한번도 ,never
긴 ,long
움직이지 ,Moving
착한 ,kind
일이지 ,Work
쓰지 ,Use
곳 ,place
도와주세요 ,help
그러죠 ,Yes
거니까 ,Because
곁에 ,beside
그녀에게 ,to her
그러는 ,That
머리에 ,Head
확인해 ,check it
싶어서 ,I want to
것들을 ,Things
데이트 ,date
사고 ,accident
한거야 ,I did it
세상 ,world
감사해요 ,thank you
책을 ,Books
배 ,ship
젊은 ,young
가자고 ,Let's go
아닌가 ,is not it
좋겠어요 ,It's good for you
비행기 ,airplane
맥스 ,Max
하잖아 ,I do it
없소 ,No
애들은 ,The kids
오늘밤 ,Tonight
고맙다 ,thanks
라는 ,in
언젠가 ,someday
필요할 ,Necessary
아이들을 ,Children
우리와 ,With us
머리가 ,Head
그것이 ,That is
세계 ,world
애는 ,Child
죽여 ,Kill
차가 ,car
죽고 ,Dying
따라와 ,Follow
힘이 ,strength
확실해 ,Are you sure
기억해 ,remember
있어도 ,Even if there is
자네를 ,You
오래된 ,old
기억나 ,I remember
루시어스 ,Lucyus
분은 ,Minute
얘기하고 ,Talk
상관없어 ,doesn't care
다섯 ,five
이제는 ,now
없네요 ,No
돌아가 ,go back
자리에 ,In place
이만 ,this much
바랍니다 ,wish
느낌이 ,the feeling is
어머 ,oh
뭐든지 ,anything
되요 ,I am
마약 ,drug
행운을 ,Good luck
봐야 ,Should be seen
선생님은 ,The teacher
줄은 ,Line
몰래 ,stealthily
불쌍한 ,poor
아니잖아요 ,No
있거든요 ,I have it
며칠 ,few days
저랑 ,With me
